192.168.42.199:arturallmann-1
192.168.43.27:jaanaee-2
192.168.43.30:leotaltech-2
192.168.42.153:madpaj-1
192.168.42.100:magna413-1
192.168.42.143:magna413-2
192.168.42.154:markomson-1
192.168.42.209:markomson-2
192.168.42.244:markusperemees-2
192.168.42.18:mavelling-1
192.168.42.71:mavelling-2
192.168.42.75:maxkorch-27-1
192.168.42.252:maxkorch-27-2
192.168.42.40:mihkep-1
